Zone,Allee,Deplacement,Niveau,longueur,largeur,hauteur,PoidsLimiteTotal,PoidsLimiteUnitaire,X,Y,Z,pictogramme,utilisateur,DateModif,DateCrea,Type1,Type2,Type3
S,3,12,5,40,24,38,20,,,,,,,,,,,
S,3,12,6,40,12,38,20,,,,,,,,,,,
S,3,12,7,40,12,38,20,,,,,,,,,,,
S,3,12,8,40,12,38,20,,,,,,,,,,,
S,3,12,9,40,12,38,20,,,,,,,,,,,
S,3,12,10,40,12,38,20,,,,,,,,,,,
S,3,13,1,40,24,38,20,,,,,,,,,,,
S,3,13,2,40,24,38,20,,,,,,,,,,,
S,3,13,3,40,24,38,20,,,,,,,,,,,
S,3,13,4,40,24,38,20,,,,,,,,,,,
S,3,13,5,40,24,38,20,,,,,,,,,,,
S,3,13,6,40,12,38,20,,,,,,,,,,,
S,3,13,7,40,12,38,20,,,,,,,,,,,
S,3,13,8,40,12,38,20,,,,,,,,,,,
S,3,13,9,40,12,38,20,,,,,,,,,,,
S,3,13,10,40,12,38,20,,,,,,,,,,,
S,3,14,1,40,24,38,20,,,,,,,,,,,
S,3,14,2,40,24,38,20,,,,,,,,,,,
S,3,14,3,40,24,38,20,,,,,,,,,,,
S,3,14,4,40,24,38,20,,,,,,,,,,,
S,3,14,5,40,24,38,20,,,,,,,,,,,
S,3,14,6,40,12,38,20,,,,,,,,,,,
S,3,14,7,40,12,38,20,,,,,,,,,,,
S,3,14,8,40,12,38,20,,,,,,,,,,,
S,3,14,9,40,12,38,20,,,,,,,,,,,
S,3,14,10,40,12,38,20,,,,,,,,,,,
S,3,15,1,40,24,38,20,,,,,,,,,,,
S,3,15,2,40,24,38,20,,,,,,,,,,,
S,3,15,3,40,24,38,20,,,,,,,,,,,
S,3,15,4,40,24,38,20,,,,,,,,,,,
S,3,15,5,40,24,38,20,,,,,,,,,,,
S,3,15,6,40,12,38,20,,,,,,,,,,,
S,3,15,7,40,12,38,20,,,,,,,,,,,
S,3,15,8,40,12,38,20,,,,,,,,,,,
S,3,15,9,40,12,38,20,,,,,,,,,,,
S,3,15,10,40,12,38,20,,,,,,,,,,,
S,3,16,1,40,24,38,20,,,,,,,,,,,
S,3,16,2,40,24,38,20,,,,,,,,,,,
S,3,16,3,40,24,38,20,,,,,,,,,,,
S,3,16,4,40,24,38,20,,,,,,,,,,,
S,3,16,5,40,24,38,20,,,,,,,,,,,
S,3,16,6,40,12,38,20,,,,,,,,,,,
S,3,16,7,40,12,38,20,,,,,,,,,,,
S,3,16,8,40,12,38,20,,,,,,,,,,,
S,3,16,9,40,12,38,20,,,,,,,,,,,
S,3,16,10,40,12,38,20,,,,,,,,,,,
S,3,17,1,40,24,38,20,,,,,,,,,,,
S,3,17,2,40,24,38,20,,,,,,,,,,,
S,3,17,3,40,24,38,20,,,,,,,,,,,
S,3,17,4,40,24,38,20,,,,,,,,,,,
S,3,17,5,40,24,38,20,,,,,,,,,,,
S,3,17,6,40,12,38,20,,,,,,,,,,,
S,3,17,7,40,12,38,20,,,,,,,,,,,
S,3,17,8,40,12,38,20,,,,,,,,,,,
S,3,17,9,40,12,38,20,,,,,,,,,,,
S,3,17,10,40,12,38,20,,,,,,,,,,,
S,3,18,1,40,24,38,20,,,,,,,,,,,
S,3,18,2,40,24,38,20,,,,,,,,,,,
S,3,18,3,40,24,38,20,,,,,,,,,,,
S,3,18,4,40,24,38,20,,,,,,,,,,,
S,3,18,5,40,24,38,20,,,,,,,,,,,
S,3,18,6,40,12,38,20,,,,,,,,,,,
S,3,18,7,40,12,38,20,,,,,,,,,,,
S,3,18,8,40,12,38,20,,,,,,,,,,,
S,3,18,9,40,12,38,20,,,,,,,,,,,
S,3,18,10,40,12,38,20,,,,,,,,,,,
S,3,19,1,40,24,38,20,,,,,,,,,,,
S,3,19,2,40,24,38,20,,,,,,,,,,,
S,3,19,3,40,24,38,20,,,,,,,,,,,
S,3,19,4,40,24,38,20,,,,,,,,,,,
S,3,19,5,40,24,38,20,,,,,,,,,,,
S,3,19,6,40,12,38,20,,,,,,,,,,,
S,3,19,7,40,12,38,20,,,,,,,,,,,
S,3,19,8,40,12,38,20,,,,,,,,,,,
S,3,19,9,40,12,38,20,,,,,,,,,,,
S,3,19,10,40,12,38,20,,,,,,,,,,,
S,3,20,1,40,24,38,20,,,,,,,,,,,
S,3,20,2,40,24,38,20,,,,,,,,,,,
S,3,20,3,40,24,38,20,,,,,,,,,,,
S,3,20,4,40,24,38,20,,,,,,,,,,,
S,3,20,5,40,24,38,20,,,,,,,,,,,
S,3,20,6,40,12,38,20,,,,,,,,,,,
S,3,20,7,40,12,38,20,,,,,,,,,,,
S,3,20,8,40,12,38,20,,,,,,,,,,,
S,3,20,9,40,12,38,20,,,,,,,,,,,
S,3,20,10,40,12,38,20,,,,,,,,,,,
S,3,21,1,40,24,38,20,,,,,,,,,,,
S,3,21,2,40,24,38,20,,,,,,,,,,,
S,3,21,3,40,24,38,20,,,,,,,,,,,
S,3,21,4,40,24,38,20,,,,,,,,,,,
S,3,21,5,40,24,38,20,,,,,,,,,,,
S,3,21,6,40,12,38,20,,,,,,,,,,,
S,3,21,7,40,12,38,20,,,,,,,,,,,
S,3,21,8,40,12,38,20,,,,,,,,,,,
S,3,21,9,40,12,38,20,,,,,,,,,,,
S,3,21,10,40,12,38,20,,,,,,,,,,,
S,3,22,1,40,24,38,20,,,,,,,,,,,
S,3,22,2,40,24,38,20,,,,,,,,,,,
S,3,22,3,40,24,38,20,,,,,,,,,,,
S,3,22,4,40,24,38,20,,,,,,,,,,,
S,3,22,5,40,24,38,20,,,,,,,,,,,
S,3,22,6,40,12,38,20,,,,,,,,,,,
S,3,22,7,40,12,38,20,,,,,,,,,,,
S,3,22,8,40,12,38,20,,,,,,,,,,,
S,3,22,9,40,12,38,20,,,,,,,,,,,
S,3,22,10,40,12,38,20,,,,,,,,,,,
S,3,23,1,40,24,38,20,,,,,,,,,,,
S,3,23,2,40,24,38,20,,,,,,,,,,,
S,3,23,3,40,24,38,20,,,,,,,,,,,
S,3,23,4,40,24,38,20,,,,,,,,,,,
S,3,23,5,40,24,38,20,,,,,,,,,,,
S,3,23,6,40,12,38,20,,,,,,,,,,,
S,3,23,7,40,12,38,20,,,,,,,,,,,
S,3,23,8,40,12,38,20,,,,,,,,,,,
S,3,23,9,40,12,38,20,,,,,,,,,,,
S,3,23,10,40,12,38,20,,,,,,,,,,,
S,3,24,1,40,24,38,20,,,,,,,,,,,
S,3,24,2,40,24,38,20,,,,,,,,,,,
S,3,24,3,40,24,38,20,,,,,,,,,,,
S,3,24,4,40,24,38,20,,,,,,,,,,,
S,3,24,5,40,24,38,20,,,,,,,,,,,
S,3,24,6,40,12,38,20,,,,,,,,,,,
S,3,24,7,40,12,38,20,,,,,,,,,,,
S,3,24,8,40,12,38,20,,,,,,,,,,,
S,3,24,9,40,12,38,20,,,,,,,,,,,
S,3,24,10,40,12,38,20,,,,,,,,,,,
S,3,25,1,40,24,38,20,,,,,,,,,,,
S,3,25,2,40,24,38,20,,,,,,,,,,,
S,3,25,3,40,24,38,20,,,,,,,,,,,
S,3,25,4,40,24,38,20,,,,,,,,,,,
S,3,25,5,40,24,38,20,,,,,,,,,,,
S,3,25,6,40,12,38,20,,,,,,,,,,,
S,3,25,7,40,12,38,20,,,,,,,,,,,
S,3,25,8,40,12,38,20,,,,,,,,,,,
S,3,25,9,40,12,38,20,,,,,,,,,,,
S,3,25,10,40,12,38,20,,,,,,,,,,,
S,3,26,1,40,24,38,20,,,,,,,,,,,
S,3,26,2,40,24,38,20,,,,,,,,,,,
S,3,26,3,40,24,38,20,,,,,,,,,,,
S,3,26,4,40,24,38,20,,,,,,,,,,,
S,3,26,5,40,24,38,20,,,,,,,,,,,
S,3,26,6,40,12,38,20,,,,,,,,,,,
S,3,26,7,40,12,38,20,,,,,,,,,,,
S,3,26,8,40,12,38,20,,,,,,,,,,,
S,3,26,9,40,12,38,20,,,,,,,,,,,
S,3,26,10,40,12,38,20,,,,,,,,,,,
S,3,27,1,40,24,38,20,,,,,,,,,,,
S,3,27,2,40,24,38,20,,,,,,,,,,,
S,3,27,3,40,24,38,20,,,,,,,,,,,
S,3,27,4,40,24,38,20,,,,,,,,,,,
S,3,27,5,40,24,38,20,,,,,,,,,,,
S,3,27,6,40,12,38,20,,,,,,,,,,,
S,3,27,7,40,12,38,20,,,,,,,,,,,
S,3,27,8,40,12,38,20,,,,,,,,,,,
S,3,27,9,40,12,38,20,,,,,,,,,,,
S,3,27,10,40,12,38,20,,,,,,,,,,,
S,3,28,1,40,24,38,20,,,,,,,,,,,
S,3,28,2,40,24,38,20,,,,,,,,,,,
S,3,28,3,40,24,38,20,,,,,,,,,,,
S,3,28,4,40,24,38,20,,,,,,,,,,,
S,3,28,5,40,24,38,20,,,,,,,,,,,
S,3,28,6,40,12,38,20,,,,,,,,,,,
S,3,28,7,40,12,38,20,,,,,,,,,,,
S,3,28,8,40,12,38,20,,,,,,,,,,,
S,3,28,9,40,12,38,20,,,,,,,,,,,
S,3,28,10,40,12,38,20,,,,,,,,,,,
S,3,29,1,40,24,38,20,,,,,,,,,,,
S,3,29,2,40,24,38,20,,,,,,,,,,,
S,3,29,3,40,24,38,20,,,,,,,,,,,
S,3,29,4,40,24,38,20,,,,,,,,,,,
S,3,29,5,40,24,38,20,,,,,,,,,,,
S,3,29,6,40,12,38,20,,,,,,,,,,,
S,3,29,7,40,12,38,20,,,,,,,,,,,
S,3,29,8,40,12,38,20,,,,,,,,,,,
S,3,29,9,40,12,38,20,,,,,,,,,,,
S,3,29,10,40,12,38,20,,,,,,,,,,,
S,3,30,1,40,24,38,20,,,,,,,,,,,
S,3,30,2,40,24,38,20,,,,,,,,,,,
